http://m.chinatruck.org/video/41483.html,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品,,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品
.auto.qq.com /car_serial/1165/,金杯,华晨金杯,新海狮
.auto.qq.com /car_serial/115/,金杯,华晨金杯,阁瑞斯
.auto.qq.com /car_serial/879/,金杯,华晨金杯,金杯S50
.auto.qq.com /car_serial/1352/,金杯,华晨鑫源,海星A7
.auto.qq.com /car_serial/1353/,金杯,华晨鑫源,海星A9
.auto.qq.com /car_serial/1354/,金杯,华晨鑫源,小海狮X30
.auto.qq.com /car_serial/1380/,金杯,华晨鑫源,海星T22
.auto.qq.com /car_serial/1388/,金杯,华晨鑫源,海星T20
.auto.qq.com /car_serial/1428/,金杯,华晨鑫源,金杯T30
.auto.qq.com /car_serial/1429/,金杯,华晨鑫源,金杯T32
.auto.qq.com /car_serial/1452/,金杯,华晨鑫源,金杯750
.auto.qq.com /car_serial/1216/,金杯,华晨华瑞,雷龙
.auto.qq.com /car_serial/1455/,金杯,华晨华瑞,大力神
.auto.qq.com /car_serial/1505/,金杯,华晨华瑞,西部牛仔
.auto.qq.com /car_serial/1506/,金杯,华晨华瑞,小金牛
.auto.qq.com /car_serial/1536/,金杯,华晨华瑞,智尚S35
.auto.qq.com /car_serial/1629/,金杯,华晨华瑞,大力神K5
.auto.qq.com /car_serial/1645/,金杯,华晨华瑞,金典
.auto.qq.com /car_serial/1662/,金杯,华晨华瑞,蒂阿兹
.auto.qq.com /car_serial/981/,金杯,华晨华瑞,智尚S30
http://m.chinatruck.org/product/truck/2763.html,金杯领驰,,金杯领驰 103马力 3360轴距轻卡底盘
http://m.chinatruck.org/product/truck/2756.html,金杯骐运,,金杯骐运 95马力 3350轴距双排轻卡底盘
http://www.cvworld.cn/series_10.html,金杯汽车,,领骐
http://www.cvworld.cn/series_11.html,金杯汽车,,金骐
http://www.cvworld.cn/series_12.html,金杯汽车,,领驰
http://www.cvworld.cn/series_119.html,金杯汽车,,金杯海狮第六代
http://www.cvworld.cn/series_310.html,金杯汽车,,金杯五十铃
http://www.cvworld.cn/series_311.html,金杯汽车,,金杯金驭
http://www.cvworld.cn/series_246.html,金杯汽车,,金杯海狮
.auto.qq.com /car_serial/1231/,金龙,金龙汽车,凯歌
http://www.cvworld.cn/series_117.html,金龙客车,,XMQ6113BYBEVL
a.xcar.com.cn /2019/,金龙汽车,,凯歌
a.xcar.com.cn /2008/,金龙汽车,,金威
car.m.yiche.com /kaosite/,金旅客车,考斯特,
car.m.yiche.com /jinlvhaishi/,金旅客车,金旅海狮,
car.m.yiche.com /jinlvkechexilie/,金旅客车,金旅客车系列,
car.m.yiche.com /jieensig90/,进口Genesis,捷恩斯G90,
car.m.yiche.com /clubmanjcw/,进口MINI JCW,MINI CLUBMAN JCW,
car.m.yiche.com /coupejcw/,进口MINI JCW,MINI COUPE JCW,
car.m.yiche.com /minijcw-4020/,进口MINI JCW,MINI JCW,
car.m.yiche.com /pacemanjcw/,进口MINI JCW,MINI PACEMAN JCW,
car.m.yiche.com /countrymanjcw/,进口MINI JCW,MINI COUNTRYMAN JCW,
car.m.yiche.com /rs5/,进口奥迪RS,奥迪RS5(进口),
car.m.yiche.com /rs6/,进口奥迪RS,奥迪RS6(进口),
car.m.yiche.com /aodirs7/,进口奥迪RS,奥迪RS7(进口),
car.m.yiche.com /baomam5/,进口宝马M系,宝马M5(进口),
car.m.yiche.com /baoma1xim/,进口宝马M系,宝马1系M(进口),
car.m.yiche.com /baomam2/,进口宝马M系,宝马M2(进口),
car.m.yiche.com /baomam3/,进口宝马M系,宝马M3(进口),
car.m.yiche.com /baomax5m/,进口宝马M系,宝马X5 M(进口),
car.m.yiche.com /baomam4/,进口宝马M系,宝马M4(进口),
car.m.yiche.com /baomam6/,进口宝马M系,宝马M6(进口),
car.m.yiche.com /baomax6m/,进口宝马M系,宝马X6 M(进口),
car.m.yiche.com /benchiglsjiamg/,进口奔驰AMG,奔驰GLS级AMG,
car.m.yiche.com /benchiglajiamg/,进口奔驰AMG,奔驰GLA级AMG,
car.m.yiche.com /benchiglejiamg/,进口奔驰AMG,奔驰GLE级AMG,
car.m.yiche.com /sljiamg/,进口奔驰AMG,奔驰SL级AMG(进口),
car.m.yiche.com /benchiglejiamgyundongsuvjinkou/,进口奔驰AMG,奔驰GLE级AMG运动SUV(进口),
car.m.yiche.com /benchiglcjiamg/,进口奔驰AMG,奔驰GLC级AMG,
car.m.yiche.com /slkjiamg/,进口奔驰AMG,奔驰SLK级AMG(进口),
car.m.yiche.com /benchimjiamg/,进口奔驰AMG,奔驰M级AMG(进口),
car.m.yiche.com /benchicjiamg/,进口奔驰AMG,奔驰C级AMG(进口),
car.m.yiche.com /benchiejiamg/,进口奔驰AMG,奔驰E级AMG,
car.m.yiche.com /gljiamg/,进口奔驰AMG,奔驰GL级AMG(进口),
car.m.yiche.com /clsjiamg/,进口奔驰AMG,奔驰CLS级AMG(进口),
car.m.yiche.com /benchiajiamg/,进口奔驰AMG,奔驰A级AMG,
car.m.yiche.com /benchiclajiamg/,进口奔驰AMG,奔驰CLA级AMG,
car.m.yiche.com /slsjiamg/,进口奔驰AMG,奔驰SLS级AMG(进口),
car.m.yiche.com /benchiamggt/,进口奔驰AMG,奔驰AMG GT,
car.m.yiche.com /sjiamg/,进口奔驰AMG,奔驰S级AMG,
car.m.yiche.com /benchigjiamg/,进口奔驰AMG,奔驰G级AMG(进口),
car.m.yiche.com /maibahesji/,进口奔驰迈巴赫,迈巴赫S级,
car.m.yiche.com /haiku-2535/,进口海酷,海酷(进口),
car.m.yiche.com /leikesasigsf/,进口雷克萨斯F系,雷克萨斯GS F,
car.m.yiche.com /leikesasirc/,进口雷克萨斯F系,雷克萨斯RC F,
car.m.yiche.com /jingyue-2594/,进口莲花(进口),RCR竞悦,
car.m.yiche.com /jingsu/,进口莲花(进口),竞速,
http://m.chinatruck.org/product/truck/264.html,精功,,精功 远征 6×4 自卸车 ZJZ3250GW1
http://m.chinatruck.org/product/truck/261.html,精功,,精功 远力 6×4 自卸车
http://m.chinatruck.org/product/truck/262.html,精功,,精功 远征 4×2 牵引车
http://m.chinatruck.org/product/truck/256.html,精功,,精功 远航 350马力 4×2  牵引车 长头车
http://m.chinatruck.org/product/truck/264.html,精功,,精功 远征 6×4 自卸车 ZJZ3250GW1
http://m.chinatruck.org/product/truck/256.html,精功,,精功 远航 350马力 4×2  牵引车 长头车
http://m.chinatruck.org/product/truck/257.html,精功,,精功 远力 4×2 载货车 1150系列
http://m.chinatruck.org/product/truck/266.html,精功,,精功 远征 276马力 8×4 载货车
http://m.chinatruck.org/product/truck/261.html,精功,,精功 远力 6×4 自卸车
http://www.cvworld.cn/series_70.html,精功汽车,,精功远征
http://www.cvworld.cn/series_71.html,精功汽车,,精功远力
http://www.cvworld.cn/series_237.html,精功汽车,,精功远航
car.m.yiche.com /jiulongshangwuche-3231/,九龙,九龙商务车,
car.m.yiche.com /jiulongaifei/,九龙,九龙艾菲,
car.m.yiche.com /jiulongvipshangwuche/,九龙,九龙考斯特,
car.m.yiche.com /jiulongjiuhuche/,九龙,九龙专用车,
.auto.qq.com /car_serial/1234/,九龙汽车,九龙汽车,艾菲
.auto.qq.com /car_serial/1402/,九龙汽车,九龙汽车,九龙A5
.auto.qq.com /car_serial/1411/,九龙汽车,九龙汽车,九龙A6
.auto.qq.com /car_serial/1412/,九龙汽车,九龙汽车,九龙A4
.auto.qq.com /car_serial/1413/,九龙汽车,九龙汽车,大MPV
a.xcar.com.cn /2460/,九龙汽车,,艾菲
a.xcar.com.cn /2375/,九龙汽车,,大MPV
a.xcar.com.cn /2023/,九龙汽车,,九龙A6
a.xcar.com.cn /2022/,九龙汽车,,九龙A5
.autohome.com.cn /2573/,九龙汽车-,九龙A5,
.autohome.com.cn /3628/,九龙汽车-,九龙A4,
.autohome.com.cn /3320/,九龙汽车-,艾菲,
.auto.qq.com /car_serial/973/,卡尔森,卡尔森,卡尔森C25
.auto.qq.com /car_serial/974/,卡尔森,卡尔森,卡尔森CGL45
.auto.qq.com /car_serial/975/,卡尔森,卡尔森,卡尔森CS60
a.xcar.com.cn /1774/,卡尔森,,卡尔森CGL
a.xcar.com.cn /1775/,卡尔森,,卡尔森CS
car.m.yiche.com /glji/,卡尔森,卡尔森GL级,
car.m.yiche.com /cji-3837/,卡尔森,卡尔森C25,
car.m.yiche.com /sji/,卡尔森,卡尔森S级,
.autohome.com.cn /2612/,卡尔森-,卡尔森 C25,
.autohome.com.cn /2610/,卡尔森-卡尔森 GL级,卡尔森 GL级,
.autohome.com.cn /2611/,卡尔森-卡尔森 S级,卡尔森 S级,
http://product.m.360che.com/s25/6430_60_index.html,卡威,K1?皮卡,K1
car.m.yiche.com /kaweik150/,卡威,卡威K150,
car.m.yiche.com /kaweihx/,卡威,卡威HX,
car.m.yiche.com /kaweisuv/,卡威,卡威W1,
car.m.yiche.com /kaweipika/,卡威,卡威K1,
.auto.qq.com /car_serial/1257/,卡威汽车,江苏卡威汽车,卡威W1
.auto.qq.com /car_serial/1258/,卡威汽车,江苏卡威汽车,卡威K1
a.xcar.com.cn /3458/,卡威汽车,,卡威K150
a.xcar.com.cn /2620/,卡威汽车,,卡威W1
a.xcar.com.cn /2934/,卡威汽车,,卡威K1
.autohome.com.cn /4172/,卡威汽车-,卡威K150,
.autohome.com.cn /3511/,卡威汽车-,卡威W1,
.autohome.com.cn /3360/,卡威汽车-,卡威K1,
.auto.qq.com /car_serial/731/,开瑞,开瑞,优胜2代
.auto.qq.com /car_serial/1235/,开瑞,开瑞,优胜
.auto.qq.com /car_serial/1237/,开瑞,开瑞,优优2代
.auto.qq.com /car_serial/1407/,开瑞,开瑞,开瑞K50
.auto.qq.com /car_serial/1555/,开瑞,开瑞,杰虎
.auto.qq.com /car_serial/1598/,开瑞,开瑞,开瑞K50S
.auto.qq.com /car_serial/1731/,开瑞,开瑞,开瑞K60
.auto.qq.com /car_serial/732/,开瑞,开瑞,优劲
.auto.qq.com /car_serial/518/,开瑞,开瑞,优派
.auto.qq.com /car_serial/659/,开瑞,开瑞,优优
.auto.qq.com /car_serial/152/,开瑞,开瑞,优雅
.auto.qq.com /car_serial/1079/,开瑞,开瑞,优雅2代
.auto.qq.com /car_serial/149/,开瑞,开瑞,优翼
a.xcar.com.cn /1112/,开瑞,,优派
a.xcar.com.cn /1226/,开瑞,,优优
a.xcar.com.cn /1114/,开瑞,,优雅
a.xcar.com.cn /1150/,开瑞,,优胜
a.xcar.com.cn /1335/,开瑞,,优劲
a.xcar.com.cn /3383/,开瑞,,开瑞K60
a.xcar.com.cn /2509/,开瑞,,开瑞K50
a.xcar.com.cn /2982/,开瑞,,开瑞杰虎
a.xcar.com.cn /3090/,开瑞,,开瑞K50S
car.m.yiche.com /youpai-2777/,开瑞,开瑞优派,
car.m.yiche.com /youyi/,开瑞,开瑞优翼,
car.m.yiche.com /kairui3/,开瑞,开瑞3,
car.m.yiche.com /yousheng/,开瑞,开瑞优胜,
car.m.yiche.com /kairuijiehu/,开瑞,开瑞杰虎,
car.m.yiche.com /kairuiyouya/,开瑞,开瑞优雅,
car.m.yiche.com /aika/,开瑞,爱卡,
car.m.yiche.com /youjin/,开瑞,开瑞优劲,
car.m.yiche.com /kairuiyouyou/,开瑞,开瑞优优,
car.m.yiche.com /kairuik50s/,开瑞,开瑞K50S,
car.m.yiche.com /kairuik50/,开瑞,开瑞K50,
car.m.yiche.com /kairuik60/,开瑞,开瑞K60,
http://m.chinatruck.org/product/truck/40022.html,开瑞冷藏车C,,开瑞冷藏车C 基本型/豪华型 4.05米厢式轻卡
http://m.chinatruck.org/product/truck/40022.html,开瑞冷藏车C,,开瑞冷藏车C 基本型/豪华型 4.05米厢式轻卡
http://product.m.360che.com/s2/685_64_index.html,开瑞绿卡,绿卡S?载货车,绿卡S
http://product.m.360che.com/s25/6454_64_index.html,开瑞绿卡,绿卡C?载货车,绿卡C
http://product.m.360che.com/s25/6455_64_index.html,开瑞绿卡,绿卡T?载货车,绿卡T
http://m.chinatruck.org/product/truck/2641.html,开瑞绿卡C中体,,开瑞绿卡C中体 福田110/五十铃109马力载货车
http://m.chinatruck.org/product/truck/1293.html,开瑞绿卡S,,开瑞绿卡S 2T冷藏车
http://m.chinatruck.org/product/truck/1291.html,开瑞绿卡S,,开瑞绿卡S 2T底盘
http://m.chinatruck.org/product/truck/1296.html,开瑞绿卡S,,开瑞绿卡S 2T邮政车 SQR5040XYZH02D
http://m.chinatruck.org/product/truck/1287.html,开瑞绿卡T,,开瑞绿卡T 2T栏板货车
http://m.chinatruck.org/product/truck/1292.html,开瑞绿卡T,,开瑞绿卡T 2T底盘
http://m.chinatruck.org/product/truck/40023.html,开瑞绿卡T-LED宣传车,,开瑞绿卡T-LED宣传车
http://m.chinatruck.org/product/truck/40023.html,开瑞绿卡T-LED宣传车,,开瑞绿卡T-LED宣传车
http://product.m.360che.com/s4/1175_64_index.html,开瑞汽车,优劲?载货车,优劲
http://product.m.360che.com/s26/6642_60_index.html,开瑞汽车,杰虎?皮卡,杰虎
http://product.m.360che.com/s26/6670_60_index.html,开瑞汽车,爱卡?皮卡,爱卡
.autohome.com.cn /2489/,开瑞汽车-,优派,
.autohome.com.cn /2492/,开瑞汽车-,优胜,
.autohome.com.cn /3017/,开瑞汽车-,优优2代,
.autohome.com.cn /3854/,开瑞汽车-,杰虎,
.autohome.com.cn /2476/,开瑞汽车-,优优,
.autohome.com.cn /2484/,开瑞汽车-,优雅,
.autohome.com.cn /2493/,开瑞汽车-,优胜2代,
.autohome.com.cn /3156/,开瑞汽车-,优雅2代,
.autohome.com.cn /4039/,开瑞汽车-,开瑞K60,
.autohome.com.cn /3384/,开瑞汽车-,开瑞K50,
.autohome.com.cn /2496/,开瑞汽车-,优劲,
.autohome.com.cn /517/,开瑞汽车-优翼,优翼,
.autohome.com.cn /2419/,凯佰赫-,战盾,
.auto.qq.com /car_serial/924/,凯迪拉克,进口凯迪拉克,凯迪拉克ATS(进口)
.auto.qq.com /car_serial/1576/,凯迪拉克,进口凯迪拉克,凯迪拉克CT6
.auto.qq.com /car_serial/293/,凯迪拉克,进口凯迪拉克,凯迪拉克CTS
.auto.qq.com /car_serial/294/,凯迪拉克,进口凯迪拉克,凯迪拉克SRX
.auto.qq.com /car_serial/296/,凯迪拉克,进口凯迪拉克,凯迪拉克XLR
.auto.qq.com /car_serial/297/,凯迪拉克,进口凯迪拉克,帝威
.auto.qq.com /car_serial/298/,凯迪拉克,进口凯迪拉克,凯雷德
.auto.qq.com /car_serial/1631/,凯迪拉克,上汽通用凯迪拉克,凯迪拉克XT5
.auto.qq.com /car_serial/176/,凯迪拉克,上汽通用凯迪拉克,SLS赛威
.auto.qq.com /car_serial/1229/,凯迪拉克,上汽通用凯迪拉克,凯迪拉克ATS-L
.auto.qq.com /car_serial/1448/,凯迪拉克,上汽通用凯迪拉克,凯迪拉克CT6
.auto.qq.com /car_serial/998/,凯迪拉克,上汽通用凯迪拉克,凯迪拉克XTS
car.m.yiche.com /kaidilakects/,凯迪拉克,凯迪拉克CTS(进口),
car.m.yiche.com /kaidilakedts/,凯迪拉克,凯迪拉克DTS(进口),
car.m.yiche.com /saiwei/,凯迪拉克,赛威(进口),
car.m.yiche.com /kaidilakediwei/,凯迪拉克,帝威,
car.m.yiche.com /kaidilakexlr/,凯迪拉克,凯迪拉克XLR(进口),
car.m.yiche.com /kaidilakejiachangban/,凯迪拉克,凯迪拉克加长版,
car.m.yiche.com /kaileidewaijiaoguan/,凯迪拉克,凯雷德外交官(进口),
car.m.yiche.com /kaileidehybird/,凯迪拉克,凯雷德 Hybrid,
car.m.yiche.com /kaidilakectsv/,凯迪拉克,凯迪拉克CTS-V(进口),
car.m.yiche.com /ctsshuangmenjiaopaoche/,凯迪拉克,凯迪拉克CTS COUPE,
car.m.yiche.com /kaidilakeats/,凯迪拉克,凯迪拉克ATS,
car.m.yiche.com /kaidilakekaileide/,凯迪拉克,凯雷德,
car.m.yiche.com /kaidilakesrx/,凯迪拉克,凯迪拉克SRX(进口),
a.xcar.com.cn /380/,凯迪拉克(进口),,凯迪拉克SRX
a.xcar.com.cn /2542/,凯迪拉克(进口),,凯雷德混合动力
a.xcar.com.cn /1401/,凯迪拉克(进口),,凯迪拉克ATS
a.xcar.com.cn /378/,凯迪拉克(进口),,凯雷德
a.xcar.com.cn /381/,凯迪拉克(进口),,凯迪拉克CTS(进口)
a.xcar.com.cn /1482/,凯迪拉克(进口),,凯迪拉克CTS双门
.autohome.com.cn /752/,凯迪拉克(进口)-,凯迪拉克ELR,
.autohome.com.cn /3190/,凯迪拉克(进口)-,Elmiraj,
.autohome.com.cn /3647/,凯迪拉克(进口)-,凯迪拉克XT5(海外),
.autohome.com.cn /2087/,凯迪拉克(进口)-,凯迪拉克XTS(海外),
.autohome.com.cn /2401/,凯迪拉克(进口)-,Ciel,
.autohome.com.cn /462/,凯迪拉克(进口)-,凯雷德ESCALADE,
.autohome.com.cn /3359/,凯迪拉克(进口)-,凯迪拉克CT6(海外),
.autohome.com.cn /2629/,凯迪拉克(进口)-,凯迪拉克ATS(进口),
.autohome.com.cn /311/,凯迪拉克(进口)-,凯迪拉克CTS(进口),
.autohome.com.cn /4185/,凯迪拉克(进口)-,Escala,
.autohome.com.cn /3421/,凯迪拉克(进口)-Brougham,Brougham,
.autohome.com.cn /238/,凯迪拉克(进口)-DeVille,DeVille,
.autohome.com.cn /3169/,凯迪拉克(进口)-Seville,Seville,
.autohome.com.cn /3355/,凯迪拉克(进口)-弗雷特伍德,弗雷特伍德,
.autohome.com.cn /637/,凯迪拉克(进口)-凯迪拉克BLS,凯迪拉克BLS,
.autohome.com.cn /2036/,凯迪拉克(进口)-凯迪拉克SLS(海外),凯迪拉克SLS(海外),
.autohome.com.cn /49/,凯迪拉克(进口)-凯迪拉克SRX,凯迪拉克SRX,
.autohome.com.cn /402/,凯迪拉克(进口)-凯迪拉克STS,凯迪拉克STS,
.autohome.com.cn /426/,凯迪拉克(进口)-凯迪拉克XLR,凯迪拉克XLR,
http://product.m.360che.com/s26/6627_64_index.html,凯马,骏驰?载货车,骏驰
http://product.m.360che.com/s4/1207_64_index.html,凯马,福运来?载货车,福运来
http://product.m.360che.com/s4/1211_64_index.html,凯马,金运卡?载货车,金运卡
http://product.m.360che.com/s26/6685_64_index.html,凯马,凯捷?载货车,凯捷
http://product.m.360che.com/s26/6601_63_index.html,凯马,骏腾?自卸车,骏腾
http://product.m.360che.com/s26/6589_64_index.html,凯马,锐菱?载货车,锐菱
http://product.m.360che.com/s4/1213_64_index.html,凯马,福来卡?载货车,福来卡
http://product.m.360che.com/s26/6699_63_index.html,凯马,天驰威力龙?自卸车,天驰威力龙
http://product.m.360che.com/s26/6601_64_index.html,凯马,骏腾?载货车,骏腾
http://product.m.360che.com/s26/6698_64_index.html,凯马,W01 ?载货车,W01 
http://product.m.360che.com/s4/1209_64_index.html,凯马,骏威?载货车,骏威
http://product.m.360che.com/s0/136_64_index.html,凯马,凯马?载货车,凯马
http://product.m.360che.com/s27/6957_64_index.html,凯马,K22?载货车,K22
http://product.m.360che.com/s4/1213_63_index.html,凯马,福来卡?自卸车,福来卡
http://m.chinatruck.org/product/truck/2773.html,凯马,,凯马 金运卡 3.26米单排厢式轻卡(汽油/CNG)
http://m.chinatruck.org/product/truck/2772.html,凯马,,凯马 金运卡 3.31米单排栏板轻卡(汽油/CNG)
http://www.cvworld.cn/series_284.html,凯马百路佳,,凯马百路佳
a.xcar.com.cn /3435/,凯翼,,凯翼C3R EV
a.xcar.com.cn /2664/,凯翼,,C5R三厢
a.xcar.com.cn /3133/,凯翼,,凯翼X3
a.xcar.com.cn /3172/,凯翼,,凯翼V3
a.xcar.com.cn /2666/,凯翼,,凯翼C3
a.xcar.com.cn /2662/,凯翼,,凯翼C3R
a.xcar.com.cn /2663/,凯翼,,C5R两厢
car.m.yiche.com /kaiyix5/,凯翼,凯翼X5,
car.m.yiche.com /kaiyiicx/,凯翼,凯翼X3,
car.m.yiche.com /kaiyiv3/,凯翼,凯翼V3,
car.m.yiche.com /kaiyic3rcross/,凯翼,凯翼C3R CROSS,
car.m.yiche.com /kaiyic3r/,凯翼,凯翼C3R,
car.m.yiche.com /kaiyic3/,凯翼,凯翼C3,
.auto.qq.com /car_serial/1260/,凯翼汽车,凯翼汽车,凯翼i-CX
.auto.qq.com /car_serial/1323/,凯翼汽车,凯翼汽车,凯翼C3
.auto.qq.com /car_serial/1324/,凯翼汽车,凯翼汽车,凯翼C3R
.auto.qq.com /car_serial/1581/,凯翼汽车,凯翼汽车,凯翼X3
.auto.qq.com /car_serial/1650/,凯翼汽车,凯翼汽车,凯翼X5
.auto.qq.com /car_serial/1689/,凯翼汽车,凯翼汽车,凯翼V3
.autohome.com.cn /4095/,凯翼汽车-,凯翼X5,
.autohome.com.cn /3580/,凯翼汽车-,凯翼i-CX,
.autohome.com.cn /3971/,凯翼汽车-,凯翼V3,
.autohome.com.cn /3581/,凯翼汽车-,凯翼C3R,
.autohome.com.cn /3586/,凯翼汽车-,凯翼C3,
.autohome.com.cn /3983/,凯翼汽车-,凯翼X3,
car.m.yiche.com /kangdixiongmaok11/,康迪全球鹰,全球鹰K11D,
car.m.yiche.com /kangdiquanqiuyingk17a/,康迪全球鹰,全球鹰K17A,
car.m.yiche.com /kangdik17/,康迪全球鹰,全球鹰K12,
car.m.yiche.com /kangdixiaodianpaok10/,康迪全球鹰,全球鹰K10D,
.auto.qq.com /car_serial/1488/,康迪全球鹰电动汽车,康迪全球鹰电动汽车,全球鹰K10
.auto.qq.com /car_serial/1489/,康迪全球鹰电动汽车,康迪全球鹰电动汽车,全球鹰K11
.auto.qq.com /car_serial/1693/,康迪全球鹰电动汽车,康迪全球鹰电动汽车,全球鹰K12
.auto.qq.com /car_serial/1694/,康迪全球鹰电动汽车,康迪全球鹰电动汽车,全球鹰K17
a.xcar.com.cn /3355/,康迪全球鹰电动汽车,,全球鹰K12
a.xcar.com.cn /2971/,康迪全球鹰电动汽车,,全球鹰K11
a.xcar.com.cn /3131/,康迪全球鹰电动汽车,,全球鹰K17
a.xcar.com.cn /2972/,康迪全球鹰电动汽车,,全球鹰K10
.auto.qq.com /car_serial/1327/,科尼赛克,科尼赛克,科尼赛克Agera
.auto.qq.com /car_serial/1591/,科尼赛克,科尼赛克,科尼赛克Regera
.auto.qq.com /car_serial/606/,科尼赛克,科尼赛克,科尼赛克CCX
.auto.qq.com /car_serial/607/,科尼赛克,科尼赛克,科尼赛克CCXR
a.xcar.com.cn /1510/,科尼赛克,,科尼赛克CCXR
a.xcar.com.cn /1512/,科尼赛克,,科尼赛克Agera
car.m.yiche.com /ccxr/,科尼赛克,科尼赛克CCR(进口),
car.m.yiche.com /agera/,科尼赛克,科尼赛克Agera,
.autohome.com.cn /3741/,科尼赛克-,Regera,
.autohome.com.cn /3377/,科尼赛克-,One:1,
.autohome.com.cn /2068/,科尼赛克-,Agera,
.autohome.com.cn /730/,科尼赛克-科尼赛克CCR,科尼赛克CCR,
.autohome.com.cn /732/,科尼赛克-科尼赛克CCXR,科尼赛克CCXR,
car.m.yiche.com /gmcshangwuzhixing/,科瑞斯的,GMC商务之星,
car.m.yiche.com /shangwuche-4271/,科瑞斯的,斯宾特,
car.m.yiche.com /hanmah6/,科瑞斯的,悍马H6,
.auto.qq.com /car_serial/433/,克莱斯勒,北京奔驰-戴克,铂锐
.auto.qq.com /car_serial/299/,克莱斯勒,进口克莱斯勒,克莱斯勒300C(进口)
.auto.qq.com /car_serial/300/,克莱斯勒,进口克莱斯勒,PT 漫步者
.auto.qq.com /car_serial/301/,克莱斯勒,进口克莱斯勒,大捷龙(进口)
.auto.qq.com /car_serial/1483/,克莱斯勒,进口克莱斯勒,克莱斯勒300S
.auto.qq.com /car_serial/434/,克莱斯勒,克莱斯勒(东南汽车),大捷龙
car.m.yiche.com /kelaisile300c-2089/,克莱斯勒,克莱斯勒300C(进口),
car.m.yiche.com /kelaisiledajielong/,克莱斯勒,大捷龙(进口),
car.m.yiche.com /kelaisile300m/,克莱斯勒,300M,
car.m.yiche.com /saibailing/,克莱斯勒,赛百灵(进口),
car.m.yiche.com /kelaisiletaiyangwu/,克莱斯勒,克莱斯勒太阳舞(进口),
car.m.yiche.com /huihuang/,克莱斯勒,辉煌(进口),
car.m.yiche.com /chengxiang/,克莱斯勒,城乡,
car.m.yiche.com /kelaisilecaihong/,克莱斯勒,克莱斯勒彩虹(进口),
car.m.yiche.com /kelaisilejiaochahuoli/,克莱斯勒,克莱斯勒交叉火力(进口),
car.m.yiche.com /kelaisilejunwang/,克莱斯勒,克莱斯勒君王(进口),
car.m.yiche.com /ptmanbuzhe/,克莱斯勒,PT漫步者(进口),
car.m.yiche.com /200/,克莱斯勒,克莱斯勒200,
a.xcar.com.cn /1654/,克莱斯勒(进口),,大捷龙(进口)
a.xcar.com.cn /993/,克莱斯勒(进口),,克莱斯勒300C(进口)
.autohome.com.cn /2231/,克莱斯勒(进口)-,Town and Country,
.autohome.com.cn /4002/,克莱斯勒(进口)-,Pacifica,
.autohome.com.cn /2224/,克莱斯勒(进口)-,克莱斯勒200,
.autohome.com.cn /2207/,克莱斯勒(进口)-,大捷龙(进口),
.autohome.com.cn /342/,克莱斯勒(进口)-,克莱斯勒300C(进口),
.autohome.com.cn /380/,克莱斯勒(进口)-PT 漫步者,PT 漫步者,
.autohome.com.cn /734/,克莱斯勒(进口)-克莱斯勒200C,克莱斯勒200C,
.auto.qq.com /car_serial/836/,兰博基尼,兰博基尼,Aventador
.auto.qq.com /car_serial/303/,兰博基尼,兰博基尼,Gallardo
.auto.qq.com /car_serial/304/,兰博基尼,兰博基尼,Murcielago
.auto.qq.com /car_serial/1195/,兰博基尼,兰博基尼,Huracan
.auto.qq.com /car_serial/563/,兰博基尼,兰博基尼,Reventon
.auto.qq.com /car_serial/959/,兰博基尼,兰博基尼,Urus
a.xcar.com.cn /356/,兰博基尼,,Gallardo
a.xcar.com.cn /2462/,兰博基尼,,Huracan
a.xcar.com.cn /1299/,兰博基尼,,Aventador 
car.m.yiche.com /lanbojinidiablo/,兰博基尼,兰博基尼Diablo,
car.m.yiche.com /lanbojinigailaduo/,兰博基尼,盖拉多,
car.m.yiche.com /bianfu/,兰博基尼,蝙蝠(进口),
car.m.yiche.com /huracan/,兰博基尼,Huracan,
car.m.yiche.com /centenario/,兰博基尼,Centenario,
car.m.yiche.com /aventador/,兰博基尼,Aventador,
.autohome.com.cn /4033/,兰博基尼-,Centenario,
.autohome.com.cn /3760/,兰博基尼-,Diablo,
.autohome.com.cn /3020/,兰博基尼-,Veneno,
.autohome.com.cn /3137/,兰博基尼-,Egoista,
.autohome.com.cn /3623/,兰博基尼-,Asterion,
.autohome.com.cn /2277/,兰博基尼-,Aventador,
.autohome.com.cn /2775/,兰博基尼-,Urus,
.autohome.com.cn /3277/,兰博基尼-,Huracan,
.autohome.com.cn /739/,兰博基尼-Estoque,Estoque,
.autohome.com.cn /354/,兰博基尼-Gallardo,Gallardo,
.autohome.com.cn /174/,兰博基尼-Murcielago,Murcielago,
.autohome.com.cn /727/,兰博基尼-Reventon,Reventon,
.autohome.com.cn /2215/,兰博基尼-Sesto Elemento,Sesto Elemento,
.autohome.com.cn /2655/,兰博基尼-兰博基尼LM002,兰博基尼LM002,
car.m.yiche.com /lingte-4144/,蓝海房车,蓝海凌特,
car.m.yiche.com /weitingguobin/,蓝海房车,蓝海威霆,
.autohome.com.cn /2271/,蓝旗亚-,Ypsilon,
car.m.yiche.com /langshiev/,朗世,朗世EV,
.auto.qq.com /car_serial/870/,劳伦士,进口劳伦士,劳伦士奔驰G级
